pot_no,nh4,beta,bg_scam10,bg_sppa10,total_bg,site_frame,level,position,co2,salinity,comp,elevation,genotype,location,depth_seed,cohort,origin_lab,date_cloned_grp,date_planted_grp,weight_init,width_init,nodes_init,agb_scam,agb_sppa,dens_scam_live,dens_scam_dead,height_sppa,height_scam_tot,height_scam_grn,width_scam_mid,width_scam_bas,prop_twist,soil_to_pot,id,extinct,age
74,NA,0.8750783870194375,4.797,NA,6.451,fresh_2,4,2,elevated,fresh,0,0.20966666666666667,ka3,kirkpatrick,14,kirk_ancestral,utk,2,1,3.726,1.9,1,7.284999999999999,0,16,1,NA,59,57.21875,4.41875,5.1,0.0625,3.5,fresh_2_4_2,0,ancestral
75,NA,0.8429139198349651,4.139,NA,4.9270000000000005,fresh_2,4,3,elevated,fresh,0,0.20966666666666667,cm10,corn,0,corn_modern,nd,1,1,1.213,4.12,1,5.19272249082046,0,21,2,NA,53.75,50.825,4.015,4.545,0.4,2,fresh_2_4_3,0,modern
76,NA,NA,9.451,0.321,12.947000000000001,fresh_2,4,4,elevated,fresh,1,0.20966666666666667,ca5,corn,18.75,corn_ancestral,utk,2,1,2.803,1.12,1,11.371,0.033,21,3,19.5,57.07142857142857,54.523809523809526,4.923809523809524,5.485714285714286,0.14285714285714285,4,fresh_2_4_4,0,ancestral
77,NA,0.8700479861434353,10.704,NA,13.875,fresh_2,4,5,elevated,fresh,0,0.20966666666666667,km4,kirkpatrick,extant,kirk_modern,nd,2,1,0.832,2.06,3,15.244000000000002,0,28,3,NA,58.232142857142854,57.535714285714285,4.714285714285714,5.121428571428571,0.25,1,fresh_2_4_5,0,modern
78,NA,NA,4.106,0.611,6.476,fresh_2,4,6,elevated,fresh,1,0.20966666666666667,ca4,corn,20.75,corn_ancestral,utk,3,2,1.273,1.86,1,6.101999999999999,2.136,24,2,64,50.833333333333336,49.770833333333336,3.5833333333333335,4.045833333333333,0.125,3.5,fresh_2_4_6,0,ancestral
79,NA,NA,3.99,0.096,6.312,fresh_2,4,7,elevated,fresh,1,0.20966666666666667,cm4,corn,0,corn_modern,utk,3,2,0.707,1.75,2,5.628,0,17,2,NA,55.266666666666666,54.6,4.066666666666666,4.593333333333334,0.13333333333333333,3.5,fresh_2_4_7,0,modern
80,NA,0.8592324868409226,6.167,NA,7.902,fresh_2,4,8,elevated,fresh,0,0.20966666666666667,cm2,corn,0,corn_modern,utk,1,1,0.188,0.98,2,7.283334759186548,0,15,2,NA,67.35714285714286,65.42857142857143,4.85,5.685714285714286,0.07142857142857142,3.5,fresh_2_4_8,0,modern
81,NA,0.9637227672120653,0.147,NA,0.398,fresh_2,5,1,elevated,fresh,0,0.09899999999999999,km4,kirkpatrick,extant,kirk_modern,nd,2,1,2.624,3.06,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_5_1,1,modern
82,NA,NA,NA,NA,NA,fresh_2,5,2,elevated,fresh,1,0.09899999999999999,ca9,corn,14.25,corn_ancestral,nd,2,1,1.861,1.69,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_5_2,1,ancestral
83,NA,NA,NA,NA,NA,fresh_2,5,3,elevated,fresh,0,0.09899999999999999,ca4,corn,20.75,corn_ancestral,utk,1,1,0.417,2.04,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,fresh_2_5_3,1,ancestral
