pot_no,genotype,provenance,age,elevation,salinity,co2,comp,agb_scam,total_bg
317,cm7,corn,modern,0.198,fresh,ambient,1,5.4156984096457474,5.263
318,cm4,corn,modern,0.198,fresh,ambient,1,0,0.767
319,b3,blackwater,modern,0.198,fresh,ambient,0,6.043,5.5920000000000005
320,ca10,corn,ancestral,0.198,fresh,ambient,0,1.495163591987926,1.006
321,ca3,corn,ancestral,0.09300000000000001,fresh,ambient,1,0,NA
322,cm2,corn,modern,0.09300000000000001,fresh,ambient,1,0,NA
323,ca7,corn,ancestral,0.09300000000000001,fresh,ambient,0,0,NA
324,km5,kirkpatrick,modern,0.09300000000000001,fresh,ambient,0,0,NA
325,cm1,corn,modern,0.09300000000000001,fresh,ambient,1,0.163,0.541
326,ca6,corn,ancestral,0.09300000000000001,fresh,ambient,0,0.225,0.64
327,ka1,kirkpatrick,ancestral,0.09300000000000001,fresh,ambient,0,0,NA
328,cm5,corn,modern,0.09300000000000001,fresh,ambient,0,0,NA
329,ka2,kirkpatrick,ancestral,-0.0049999999999999906,fresh,ambient,0,0,NA
330,ca3,corn,ancestral,-0.0049999999999999906,fresh,ambient,0,0,NA
331,ca5,corn,ancestral,-0.0049999999999999906,fresh,ambient,1,0,NA
332,cm8,corn,modern,-0.0049999999999999906,fresh,ambient,0,0,NA
333,ca4,corn,ancestral,-0.0049999999999999906,fresh,ambient,1,0,NA
334,km5,kirkpatrick,modern,-0.0049999999999999906,fresh,ambient,0,0,NA
335,cm4,corn,modern,-0.0049999999999999906,fresh,ambient,0,0,NA
336,cm4,corn,modern,-0.0049999999999999906,fresh,ambient,1,0,NA
